open_time,open,high,low,close,volume,close_log_return,future_close_log_return,signal,ema5,ema20,ema_trend_strength,ema_distance,momentum_12,rsi_14,rsi_normalized,relative_volume_20,volume_change,atr_14,atr_percent,volatility_20,ema_cross,candle_strength,trend_regime
2020-11-27T21:00:00.000,17072.42,17089.96,16917.55,17001.15,11477.067,-0.004183307116673176,-0.000244719271157836,1,16919.929131068813,16960.550186678232,-0.004538604062893243,0.006849586212542214,0.012734202369829806,44.48809756507386,-0.11023804869852284,1.0971041207780872,2.70130856173008,285.9078571428573,0.016746768011966513,0.011035274523901786,0,0.6925108763206919,1
2020-11-27T22:00:00.000,17001.16,17057.98,16915.81,16963.35,6974.745,-0.002225854383632861,7.781179100135597e-05,1,16934.402754045877,16960.81683556602,-0.0023950317154997325,0.0023937792627540116,0.020417166337154402,42.86021520991687,-0.14279569580166254,0.6573938964526342,0.5904894757197156,279.80142857142863,0.01645779424165004,0.011017213728922805,0,-0.4133750942520553,1
2020-11-27T23:00:00.000,16963.36,17157.8,16963.36,17144.1,9869.374,0.010598956655286911,-0.009530163770901098,0,17004.301836030587,16978.272375035922,-0.0015573590456300183,0.0001493539172397996,0.0023351688122603687,41.98277002379041,-0.16034459952419183,0.41030981968271335,0.607711447532719,261.3049999999998,0.015404091762535101,0.010707846334497284,0,-0.2659492157276625,1
2020-11-28T00:00:00.000,17144.11,17180.25,16982.53,17153.51,10432.084,0.0005487262952791543,-0.007632159610861327,0,17054.037890687057,16994.96167265155,0.0015331042181263106,0.009767049397081298,0.02065285919847315,47.51582761991707,-0.04968344760165863,0.5871598265347275,1.415015746095377,232.47857142857123,0.013560266880651142,0.010984211536171188,1,0.9295412466570623,1
2020-11-28T01:00:00.000,17153.51,17197.94,17045.05,17134.38,9546.396,-0.0011158459727276643,-0.006593858383546805,0,17080.818593791373,17008.239608589498,0.0034761018690953947,0.009329137093823938,0.004833931716906603,47.79496410205828,-0.04410071795883439,0.6214398753794335,1.0570157742527542,226.10999999999981,0.013181558759694071,0.01098400623512504,0,0.04754197855552176,1
2020-11-28T02:00:00.000,17134.39,17136.39,16990.0,16991.4,8108.099,-0.008379637719659591,-0.006422643308006635,0,17051.01239586092,17006.63583634288,0.004267283791393753,0.007416428408428564,0.01087370140654298,47.24485003254867,-0.05510299934902662,0.5759480931209104,0.915099610010809,223.36142857142815,0.013035862900871121,0.010691083797791996,0,-0.12512263719012004,1
2020-11-28T03:00:00.000,16991.41,17015.81,16928.19,16996.99,8720.363,0.0003289358542962496,-0.004599018779263478,0,17033.00493057395,17005.717185262605,0.0026093673049202132,-0.000895875968033644,0.013171938821144424,43.23902892477171,-0.1352194215045658,0.491382042664331,0.8493361264292828,212.11142857142815,0.01248345801825795,0.010830821988512214,0,-0.976774369833995,0
2020-11-28T04:00:00.000,16996.99,17031.56,16891.87,16964.67,6854.239,-0.00190332332147364,0.013983392912413087,2,17010.226620382633,17001.80792952331,0.0016046218465276642,-0.0005131912501853612,0.029203679146457384,43.44094014631909,-0.13118119707361814,0.5356214102920468,1.075512644825871,206.06857142857137,0.012123827302867823,0.010589019605061034,0,0.06368409039033987,0
2020-11-28T05:00:00.000,16964.74,16982.92,16865.78,16981.49,6907.031,0.0009909810933843761,0.010980922321967297,2,17000.647746921757,16999.87288861633,0.0004951644492291344,-0.0021843517864252237,0.00875160324162505,42.499614570878414,-0.15000770858243173,0.4555877517822205,0.786003862453891,198.59142857142874,0.011706176929549986,0.01005675999278176,0,-0.23136946094926486,0
2020-11-28T06:00:00.000,16981.49,17043.7,16969.32,17023.09,5464.316,0.0024467304553186468,0.006911347651497813,2,17008.12849794784,17002.084042081442,4.558024112910032e-05,-0.0010813544746348107,0.014679292678817069,43.18954960410492,-0.13620900791790164,0.5215495400615546,1.0077020950101099,182.21500000000015,0.01073021271984968,0.009648030138663981,0,0.1429912924705488,0
