timestamp,open,high,low,close,volume,close_log_return,close_log_return_lag_1,close_log_return_lag_2,close_log_return_lag_3,close_log_return_lag_4,close_log_return_lag_5,open_interest,open_interest_value,notional_oi,oi_momentum,oi_momentum_lag_1,oi_momentum_lag_2,oi_momentum_lag_3,oi_momentum_lag_4,oi_momentum_lag_5
2026-06-24 01:00:00,63014.0,63119.45,62772.15,62932.19,599.06927,-0.0012991264206736676,0.004444272565983869,0.0023071304234603108,-0.00015608304128730875,0.0020639571566169984,0.001316843588042913,98636.681,6211674576.9793,6207422349.66139,-0.0036655961512009894,0.00512548660635348,0.004697915041792955,-0.0019555855842127157,0.0006767647220811135,-0.0003855511001524814
2026-06-24 02:00:00,62932.19,63013.12,62606.09,62630.0,593.50541,-0.004813400968059099,-0.0012991264206736676,0.004444272565983869,0.0023071304234603108,-0.00015608304128730875,0.0020639571566169984,98387.46,6189013977.57,6162006619.8,-0.007316358917299648,-0.0036655961512009894,0.00512548660635348,0.004697915041792955,-0.0019555855842127157,0.0006767647220811135
2026-06-24 03:00:00,62630.01,62830.0,62461.87,62729.78,770.64134,0.001591898471286066,-0.004813400968059099,-0.0012991264206736676,0.004444272565983869,0.0023071304234603108,-0.00015608304128730875,98373.127,6157961003.946,6170924614.62206,0.0014472549888868702,-0.007316358917299648,-0.0036655961512009894,0.00512548660635348,0.004697915041792955,-0.0019555855842127157
2026-06-24 04:00:00,62729.78,62799.62,62525.49,62744.42,650.06924,0.00023335474649671082,0.001591898471286066,-0.004813400968059099,-0.0012991264206736676,0.004444272565983869,0.0023071304234603108,97813.064,6133329052.8944,6137223969.10288,-0.0054611987058351685,0.0014472549888868702,-0.007316358917299648,-0.0036655961512009894,0.00512548660635348,0.004697915041792955
2026-06-24 05:00:00,62744.41,63073.44,62706.0,62890.0,366.0273,0.0023175188003078818,0.00023335474649671082,0.001591898471286066,-0.004813400968059099,-0.0012991264206736676,0.004444272565983869,97793.556,6134836028.35326,6150236736.84,0.002120301915431444,-0.0054611987058351685,0.0014472549888868702,-0.007316358917299648,-0.0036655961512009894,0.00512548660635348
2026-06-24 06:00:00,62889.99,62909.98,62728.73,62780.0,219.5109,-0.0017506171416045487,0.0023175188003078818,0.00023335474649671082,0.001591898471286066,-0.004813400968059099,-0.0012991264206736676,97693.905,6141212775.485812,6133223355.9,-0.0027662969196112774,0.002120301915431444,-0.0054611987058351685,0.0014472549888868702,-0.007316358917299648,-0.0036655961512009894
2026-06-24 07:00:00,62780.01,62844.0,62610.11,62657.99,589.75592,-0.0019453442848936817,-0.0017506171416045487,0.0023175188003078818,0.00023335474649671082,0.001591898471286066,-0.004813400968059099,97723.749,6132692032.451996,6123173687.604509,-0.0016385622554937473,-0.0027662969196112774,0.002120301915431444,-0.0054611987058351685,0.0014472549888868702,-0.007316358917299648
2026-06-24 08:00:00,62658.0,62807.46,62605.28,62800.0,475.30761,0.0022638663452391123,-0.0019453442848936817,-0.0017506171416045487,0.0023175188003078818,0.00023335474649671082,0.001591898471286066,97925.745,6132247247.943,6149736786.0,0.004338125905078316,-0.0016385622554937473,-0.0027662969196112774,0.002120301915431444,-0.0054611987058351685,0.0014472549888868702
2026-06-24 09:00:00,62800.0,62800.01,62637.08,62681.7,493.71643,-0.0018855344651649863,0.0022638663452391123,-0.0019453442848936817,-0.0017506171416045487,0.0023175188003078818,0.00023335474649671082,97639.494,6129133720.8114,6120209471.0598,-0.004801394916188806,0.004338125905078316,-0.0016385622554937473,-0.0027662969196112774,0.002120301915431444,-0.0054611987058351685
2026-06-24 10:00:00,62681.7,62681.7,62412.05,62445.99,530.71886,-0.003767515868134923,-0.0018855344651649863,0.0022638663452391123,-0.0019453442848936817,-0.0017506171416045487,0.0023175188003078818,97576.827,6114440274.969611,6093281563.07373,-0.0043998343706047605,-0.004801394916188806,0.004338125905078316,-0.0016385622554937473,-0.0027662969196112774,0.002120301915431444
